epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0137,0.39352,4.58312,1.15213,0.01394,0.08083,0.01666,0.01661,0.33123,4.0846,0.68323,3.90949e-05,3.90949e-05,3.90949e-05
2,130.922,0.12728,4.00439,0.95717,0.41237,0.19005,0.14613,0.14552,0.25419,3.16617,0.50836,7.68754e-05,7.68754e-05,7.68754e-05
3,194.174,0.10654,3.44818,0.93017,0.37179,0.37225,0.26403,0.26359,0.20955,2.67189,0.36936,0.000113098,0.000113098,0.000113098
4,257.128,0.09755,2.9863,0.92067,0.36835,0.45358,0.38327,0.38139,0.2078,2.31936,0.35163,0.000110991,0.000110991,0.000110991
5,319.649,0.08981,2.60733,0.91207,0.42389,0.55531,0.47003,0.46195,0.23871,2.1114,0.37716,0.000108654,0.000108654,0.000108654
6,381.466,0.08687,2.33687,0.90964,0.51307,0.50622,0.51933,0.5186,0.1806,2.01817,0.30682,0.000106318,0.000106318,0.000106318
7,443.855,0.08317,2.11848,0.90957,0.42279,0.59484,0.54849,0.54764,0.21181,1.91682,0.31329,0.000103982,0.000103982,0.000103982
8,506.457,0.07937,1.98421,0.90974,0.51815,0.62919,0.61894,0.61588,0.2144,1.7753,0.32454,0.000101645,0.000101645,0.000101645
9,568.671,0.07744,1.82638,0.90887,0.57474,0.59088,0.6504,0.64797,0.17845,1.62349,0.27804,9.93088e-05,9.93088e-05,9.93088e-05
10,630.59,0.07544,1.69825,0.90281,0.63363,0.5889,0.66913,0.66522,0.17848,1.53268,0.26465,9.69724e-05,9.69724e-05,9.69724e-05
11,692.773,0.07149,1.59233,0.9057,0.60663,0.69007,0.70238,0.70057,0.16453,1.42773,0.27156,9.4636e-05,9.4636e-05,9.4636e-05
12,754.657,0.07024,1.47441,0.90123,0.70203,0.60158,0.73031,0.72632,0.20851,1.36871,0.30961,9.22996e-05,9.22996e-05,9.22996e-05
13,816.034,0.0713,1.39627,0.9031,0.68333,0.6367,0.73475,0.7317,0.1457,1.32686,0.22823,8.99632e-05,8.99632e-05,8.99632e-05
14,877.491,0.06893,1.3295,0.90027,0.63202,0.62291,0.72462,0.72153,0.17025,1.35759,0.25847,8.76268e-05,8.76268e-05,8.76268e-05
15,938.825,0.066,1.26611,0.89623,0.64973,0.73744,0.74977,0.74791,0.17131,1.32976,0.25744,8.52904e-05,8.52904e-05,8.52904e-05
16,1000.43,0.06658,1.21793,0.90006,0.63,0.69572,0.76409,0.76041,0.1522,1.19908,0.22923,8.2954e-05,8.2954e-05,8.2954e-05
17,1061.86,0.06534,1.17262,0.8998,0.67313,0.70995,0.75898,0.75585,0.18366,1.28057,0.27255,8.06176e-05,8.06176e-05,8.06176e-05
18,1123.35,0.0665,1.13214,0.90005,0.62855,0.75971,0.79423,0.79172,0.14976,1.13626,0.21779,7.82812e-05,7.82812e-05,7.82812e-05
19,1185.05,0.06336,1.10142,0.89792,0.64226,0.73822,0.77819,0.77452,0.15947,1.18438,0.23835,7.59448e-05,7.59448e-05,7.59448e-05
20,1246.57,0.06226,1.05958,0.8999,0.71936,0.7465,0.83152,0.8297,0.12806,1.05551,0.19815,7.36084e-05,7.36084e-05,7.36084e-05
21,1307.95,0.06031,1.02912,0.90096,0.67226,0.7319,0.80005,0.79706,0.15127,1.11308,0.22825,7.1272e-05,7.1272e-05,7.1272e-05
22,1369.37,inf,1.00735,0.89791,0.69533,0.74309,0.80555,0.80555,0.12812,1.10999,0.19921,6.89356e-05,6.89356e-05,6.89356e-05
23,1431.44,0.05912,0.96496,0.90041,0.68688,0.76804,0.82369,0.82112,0.14586,1.01778,0.22041,6.65992e-05,6.65992e-05,6.65992e-05
24,1493.03,0.05857,0.94676,0.8959,0.69972,0.7268,0.81415,0.81237,0.13353,1.06056,0.20153,6.42628e-05,6.42628e-05,6.42628e-05
25,1554.79,0.05663,0.92194,0.89761,0.70976,0.75466,0.82093,0.82047,0.13298,1.03554,0.20258,6.19264e-05,6.19264e-05,6.19264e-05
26,1616.69,0.05757,0.91437,0.89874,0.66885,0.78751,0.82496,0.82176,0.12902,1.01704,0.19367,5.959e-05,5.959e-05,5.959e-05
27,1678.03,0.05698,0.89212,0.89385,0.69026,0.77023,0.82403,0.82403,0.11367,1.02632,0.17682,5.72536e-05,5.72536e-05,5.72536e-05
28,1739.58,0.05508,0.88278,0.89686,0.7041,0.76678,0.84212,0.84212,0.10429,0.94757,0.17192,5.49172e-05,5.49172e-05,5.49172e-05
29,1801.13,0.05477,0.86338,0.89492,0.78713,0.74222,0.83773,0.83475,0.11726,0.98304,0.18148,5.25808e-05,5.25808e-05,5.25808e-05
30,1862.65,0.05382,0.83687,0.89503,0.75499,0.7606,0.84028,0.83672,0.13418,0.9785,0.19373,5.02444e-05,5.02444e-05,5.02444e-05
31,1924.27,0.05387,0.82205,0.89171,0.76453,0.7428,0.85525,0.85348,0.13013,0.91873,0.19394,4.7908e-05,4.7908e-05,4.7908e-05
32,1986.18,0.05299,0.81192,0.89117,0.70177,0.79229,0.84851,0.84851,0.12839,0.92973,0.18951,4.55716e-05,4.55716e-05,4.55716e-05
33,2047.85,0.05254,0.80728,0.89222,0.775,0.75065,0.85538,0.8522,0.14329,0.92084,0.20741,4.32352e-05,4.32352e-05,4.32352e-05
34,2109.55,0.05085,0.78606,0.89078,0.755,0.75791,0.85916,0.85856,0.12402,0.89152,0.18684,4.08988e-05,4.08988e-05,4.08988e-05
35,2171.33,0.0502,0.77582,0.89183,0.74857,0.7732,0.84433,0.8442,0.12827,0.91355,0.19143,3.85624e-05,3.85624e-05,3.85624e-05
36,2233.45,0.04956,0.77875,0.89284,0.73783,0.77966,0.8364,0.83306,0.11736,0.92366,0.17565,3.6226e-05,3.6226e-05,3.6226e-05
37,2295.3,0.05002,0.75648,0.89724,0.72582,0.80161,0.84517,0.84175,0.12354,0.89085,0.18453,3.38896e-05,3.38896e-05,3.38896e-05
38,2356.98,0.04861,0.73986,0.89001,0.75843,0.7791,0.85253,0.84783,0.10629,0.88544,0.16329,3.15532e-05,3.15532e-05,3.15532e-05
39,2418.82,0.0479,0.72757,0.89266,0.72983,0.79997,0.85317,0.85268,0.1004,0.86515,0.15443,2.92168e-05,2.92168e-05,2.92168e-05
40,2469.52,0.04792,0.72223,0.89066,0.71876,0.81804,0.85322,0.85322,0.11387,0.85002,0.16731,2.68804e-05,2.68804e-05,2.68804e-05
41,2562.93,0.07915,0.84045,0.93146,0.72015,0.77822,0.83748,0.83748,0.124,0.91328,0.18153,2.4544e-05,2.4544e-05,2.4544e-05
42,2624.17,0.05243,0.64753,0.90385,0.7667,0.73147,0.83987,0.83987,0.10683,0.84297,0.16304,2.22076e-05,2.22076e-05,2.22076e-05
